ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,Embedding,ScoreType,Score,Rank,ID2,GPT4oScore1,GPT4oScore2,Topic,Gender_org,Gender,Age,Nationality,Ethnicity_org,Multiple_Ethnicity,Ethnicity,Ethnicity1,Highest_Degree_org,Education1,Education_EMNLP,Education,Education3,Education2,Handedness,Language,SpecificLanguage,Exposure_Age,Exposure_Length,Length_of_Stay,Writing_Interest,Writing_Strength,P_burst,R_burst,MeanPause,WithinWordPause,BetweenWordPause,MeanDeletion,ProportionDeletion,MeanInsertion,ProportionInsertion,IntervalVariance,MTLD,TUnitLength,DependencyDepth,DependencyCosSim,Readability,LSACohesion,ArgumentOverlap,ConnectiveVariety,Claude3.7Score1,Claude3.7Score2
10909598,-4.506823805,-5.396543049,-6.015544997,-14.29428789,-1.93462005,-2.593529938,1.708077805,5.019939511,0.333892116,0.265147257,2.872586154,0.851661214,-0.153607968,GPT4o,5,3647,10909598a,5,5,Happ,Woman,Women,48,United States of America,White,NA,White,White,Associate degree,HighSchool&Other,Bach,Bachelor,Coll,SomeCollegeCredit,right-handed,English,NA,NA,NA,NA,5,3,70.84,26.43283582,1.344886458,0.379458333,0.625263889,4.507462687,0.078563996,24.59722222,0.921436004,283.2281373,62.1454,8.1714,1.9493,0.4704,87.21,0.009,0.1186,0.1389,4,4
10909598,-4.506823805,-5.396543049,-6.015544997,-14.29428789,-1.93462005,-2.593529938,1.708077805,5.019939511,0.333892116,0.265147257,2.872586154,0.851661214,-0.153607968,Human,4,3647,10909598a,5,5,Happ,Woman,Women,48,United States of America,White,NA,White,White,Associate degree,HighSchool&Other,Bach,Bachelor,Coll,SomeCollegeCredit,right-handed,English,NA,NA,NA,NA,5,3,70.84,26.43283582,1.344886458,0.379458333,0.625263889,4.507462687,0.078563996,24.59722222,0.921436004,283.2281373,62.1454,8.1714,1.9493,0.4704,87.21,0.009,0.1186,0.1389,4,4
10909598,-4.506823805,-5.396543049,-6.015544997,-14.29428789,-1.93462005,-2.593529938,1.708077805,5.019939511,0.333892116,0.265147257,2.872586154,0.851661214,-0.153607968,Claude3.7,4,3647,10909598a,5,5,Happ,Woman,Women,48,United States of America,White,NA,White,White,Associate degree,HighSchool&Other,Bach,Bachelor,Coll,SomeCollegeCredit,right-handed,English,NA,NA,NA,NA,5,3,70.84,26.43283582,1.344886458,0.379458333,0.625263889,4.507462687,0.078563996,24.59722222,0.921436004,283.2281373,62.1454,8.1714,1.9493,0.4704,87.21,0.009,0.1186,0.1389,4,4
22038475,-10.03431605,-5.520788142,-6.00292574,-6.324487222,-6.163626081,-12.10688841,6.693755201,1.297413677,-7.739968065,0.783479329,1.318197016,2.309040526,-0.025106758,Human,2,2569,22038475a,1,1,Happ,Man,Men,25,United States of America,White,NA,White,White,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,4,3,15.75294118,16.7375,1.356931692,0.604746606,1.082656319,3,0.084131327,23.91071429,0.915868673,89.78177246,32.9136,8.7037,1.8638,0.4788,86.91,0.0208,0.1514,0.0694,1,1
22038475,-10.03431605,-5.520788142,-6.00292574,-6.324487222,-6.163626081,-12.10688841,6.693755201,1.297413677,-7.739968065,0.783479329,1.318197016,2.309040526,-0.025106758,GPT4o,1,2569,22038475a,1,1,Happ,Man,Men,25,United States of America,White,NA,White,White,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,4,3,15.75294118,16.7375,1.356931692,0.604746606,1.082656319,3,0.084131327,23.91071429,0.915868673,89.78177246,32.9136,8.7037,1.8638,0.4788,86.91,0.0208,0.1514,0.0694,1,1
22038475,-10.03431605,-5.520788142,-6.00292574,-6.324487222,-6.163626081,-12.10688841,6.693755201,1.297413677,-7.739968065,0.783479329,1.318197016,2.309040526,-0.025106758,Claude3.7,1,2569,22038475a,1,1,Happ,Man,Men,25,United States of America,White,NA,White,White,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,4,3,15.75294118,16.7375,1.356931692,0.604746606,1.082656319,3,0.084131327,23.91071429,0.915868673,89.78177246,32.9136,8.7037,1.8638,0.4788,86.91,0.0208,0.1514,0.0694,1,1
91819156,9.728999374,5.205105257,-7.071082816,-10.71135711,1.210424691,-0.754612774,-0.422136056,-6.68333619,1.728352389,0.307671915,-0.357253151,-0.178894844,-0.085810677,Human,3.5,3175,91819156a,2,3,App,Man,Men,41,United States of America,White,NA,White,White,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,5,4,76.64150943,50.14814815,1.196958262,0.633542902,1.993265985,1.825,0.017654172,18.80555556,0.982345828,196.058268,123.8309,8.0947,2.1027,0.4718,86.5,0.005,0.0658,0.2083,3,3
91819156,9.728999374,5.205105257,-7.071082816,-10.71135711,1.210424691,-0.754612774,-0.422136056,-6.68333619,1.728352389,0.307671915,-0.357253151,-0.178894844,-0.085810677,GPT4o,2.5,3175,91819156a,2,3,App,Man,Men,41,United States of America,White,NA,White,White,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,5,4,76.64150943,50.14814815,1.196958262,0.633542902,1.993265985,1.825,0.017654172,18.80555556,0.982345828,196.058268,123.8309,8.0947,2.1027,0.4718,86.5,0.005,0.0658,0.2083,3,3
91819156,9.728999374,5.205105257,-7.071082816,-10.71135711,1.210424691,-0.754612774,-0.422136056,-6.68333619,1.728352389,0.307671915,-0.357253151,-0.178894844,-0.085810677,Claude3.7,3,3175,91819156a,2,3,App,Man,Men,41,United States of America,White,NA,White,White,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,5,4,76.64150943,50.14814815,1.196958262,0.633542902,1.993265985,1.825,0.017654172,18.80555556,0.982345828,196.058268,123.8309,8.0947,2.1027,0.4718,86.5,0.005,0.0658,0.2083,3,3
43800591,5.703878518,-1.488010509,2.017087535,-9.684009419,2.271737669,-2.201909917,-0.094917549,1.121059099,-3.716900903,2.312634001,1.288996119,0.748284048,-0.148010703,Human,4,1349,43800591a,3,3,Mat,Man,Men,26,United States of America,Black or African American,NA,African,African,"Some college credit, no degree",HighSchool&Other,Bach,Bachelor,Coll,SomeCollegeCredit,left-handed,English,NA,NA,NA,NA,3,4,57.40963855,14.890625,0.548887861,0.404086957,0.582384444,1.9,0.059972381,19.93723849,0.940027619,64.78211344,68.1961,7.9636,2.1016,0.4717,86.4,0.0116,0.0935,0.1528,3,3
43800591,5.703878518,-1.488010509,2.017087535,-9.684009419,2.271737669,-2.201909917,-0.094917549,1.121059099,-3.716900903,2.312634001,1.288996119,0.748284048,-0.148010703,GPT4o,3,1349,43800591a,3,3,Mat,Man,Men,26,United States of America,Black or African American,NA,African,African,"Some college credit, no degree",HighSchool&Other,Bach,Bachelor,Coll,SomeCollegeCredit,left-handed,English,NA,NA,NA,NA,3,4,57.40963855,14.890625,0.548887861,0.404086957,0.582384444,1.9,0.059972381,19.93723849,0.940027619,64.78211344,68.1961,7.9636,2.1016,0.4717,86.4,0.0116,0.0935,0.1528,3,3
43800591,5.703878518,-1.488010509,2.017087535,-9.684009419,2.271737669,-2.201909917,-0.094917549,1.121059099,-3.716900903,2.312634001,1.288996119,0.748284048,-0.148010703,Claude3.7,3,1349,43800591a,3,3,Mat,Man,Men,26,United States of America,Black or African American,NA,African,African,"Some college credit, no degree",HighSchool&Other,Bach,Bachelor,Coll,SomeCollegeCredit,left-handed,English,NA,NA,NA,NA,3,4,57.40963855,14.890625,0.548887861,0.404086957,0.582384444,1.9,0.059972381,19.93723849,0.940027619,64.78211344,68.1961,7.9636,2.1016,0.4717,86.4,0.0116,0.0935,0.1528,3,3
22720782,7.163989473,-3.180672331,4.968554969,-11.5076584,-0.74973192,-3.458984631,-2.432023549,4.439469466,-1.189643448,4.242785498,0.878485035,2.866742264,-0.13735263,Human,3,1232,22720782a,2,3,Mat,Woman,Women,61,United States of America,White,NA,White,White,"High school graduate, diploma or the equivalent (for example: GED)",HighSchool&Other,HS,HSBelow,HS,HighSchool,right-handed,English,NA,NA,NA,NA,4,3,34.1509434,30.16666667,1.299950315,0.711114925,0.720669565,4.133333333,0.064115822,20.56818182,0.935884178,158.0927998,67.6302,8.4571,2.2061,0.4312,86.2,0.0113,0.1736,0.0417,2,2
22720782,7.163989473,-3.180672331,4.968554969,-11.5076584,-0.74973192,-3.458984631,-2.432023549,4.439469466,-1.189643448,4.242785498,0.878485035,2.866742264,-0.13735263,GPT4o,2.5,1232,22720782a,2,3,Mat,Woman,Women,61,United States of America,White,NA,White,White,"High school graduate, diploma or the equivalent (for example: GED)",HighSchool&Other,HS,HSBelow,HS,HighSchool,right-handed,English,NA,NA,NA,NA,4,3,34.1509434,30.16666667,1.299950315,0.711114925,0.720669565,4.133333333,0.064115822,20.56818182,0.935884178,158.0927998,67.6302,8.4571,2.2061,0.4312,86.2,0.0113,0.1736,0.0417,2,2
22720782,7.163989473,-3.180672331,4.968554969,-11.5076584,-0.74973192,-3.458984631,-2.432023549,4.439469466,-1.189643448,4.242785498,0.878485035,2.866742264,-0.13735263,Claude3.7,2,1232,22720782a,2,3,Mat,Woman,Women,61,United States of America,White,NA,White,White,"High school graduate, diploma or the equivalent (for example: GED)",HighSchool&Other,HS,HSBelow,HS,HighSchool,right-handed,English,NA,NA,NA,NA,4,3,34.1509434,30.16666667,1.299950315,0.711114925,0.720669565,4.133333333,0.064115822,20.56818182,0.935884178,158.0927998,67.6302,8.4571,2.2061,0.4312,86.2,0.0113,0.1736,0.0417,2,2
15405796,8.822700158,-0.464392225,-4.986741904,-15.14744894,-1.424187394,-2.501542432,6.661676012,0.984532951,-0.99199323,2.403688011,-0.41126432,-3.955223472,-0.060094237,GPT4o,4,2193,15405796a,4,4,App,Woman,Women,42,United States of America,White,NA,White,White,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,5,4,31.87179487,26.16842105,1.882665375,0.469889881,0.863613971,2.422222222,0.042003854,17.75714286,0.957996146,146.2328432,87.6781,9.9348,2.4923,0.479,85.49,0.006,0.1007,0.1528,4,4
15405796,8.822700158,-0.464392225,-4.986741904,-15.14744894,-1.424187394,-2.501542432,6.661676012,0.984532951,-0.99199323,2.403688011,-0.41126432,-3.955223472,-0.060094237,Human,4,2193,15405796a,4,4,App,Woman,Women,42,United States of America,White,NA,White,White,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,5,4,31.87179487,26.16842105,1.882665375,0.469889881,0.863613971,2.422222222,0.042003854,17.75714286,0.957996146,146.2328432,87.6781,9.9348,2.4923,0.479,85.49,0.006,0.1007,0.1528,4,4
